"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","[TC_0205202] Validate Logic when User can Move Item to Parent Merge Table","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Move Item","","",""
"","19119","[TC_0205328] Validate Logic when User can Move Item to new Quick Service order from Quick Service to Quick Service","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","12012","[TC_0206053] Validate Logic when user mix Other Voucher, Cash, Compliment and Card payment method","chromium","2026-04-21","failed","2026-04-21","Payment Mix POS","","",""
"","8824","[TC_0205503] Validate Logic When User Apply Promotion Head - Order Pages - Menu Discount Rp Menu","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive Before Discount","","",""
"","101938","[TC_0205133] Validate Logic when User can Cancel Table before saving order","chromium","2026-04-21","broken","2026-04-21","Dine in Cancel Table","","",""
"","8624","[TC_0205529] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Discount % Menu Category Detail","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive Before Discount","","",""
"","0","[TC_0205176] Validate Logic when user cannot Move Table to the other filled table with different Table Section","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Move Table","","",""
"","19321","[TC_0205355] Validate Logic when User can Move Item from Quick Service to Dine-In other filled table with the same Sales Mode","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","20781","[TC_0205422] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Discount Bill Rp","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive Before Discount","","",""
"","9518","[TC_0205587] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Menu Discount Rp Menu Category Detail","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive After Discount","","",""
"","1","[TC_0205226] Validate Logic when User cannot Link Table after Hold All the menu","chromium","2026-04-21","skipped","2026-04-21","Dine in Link Table","","",""
"","10207","[TC_0206050] Validate Logic when user can mix Cash, Card, and Compliment payment method","chromium","2026-04-21","failed","2026-04-21","Payment Mix POS","","",""
"","6835","[TC_0205738] Validate Logic when User can Sort Ascending Status Today's Promotions list in Promotion List sub-tab menu on Tools","chromium","2026-04-20","failed","2026-04-20","Tools","","",""
"","0","[TC_0205151] Validate Logic when User can Merge Table with unordered table and filled table","chromium","2026-04-21","skipped","2026-04-21","Dine in Merge Table","","",""
"","9009","[TC_0205310] Validate Logic When User Able To Delete Menu Open Price Before Save","chromium","2026-04-21","passed","2026-04-21","Quick Service Add Order","","",""
"","0","[TC_0205149] Validate Logic when User can Merge Table with empty table","chromium","2026-04-21","skipped","2026-04-21","Dine in Merge Table","","",""
"","24116","[TC_0205338] Validate Logic when User can Move Item to the empty order with a Menu selected from Quick Service to Quick Service","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","18640","[TC_0205376] Validate Logic when User can't Cancel Order before saving order","chromium","2026-04-21","passed","2026-04-21","Quick Service Cancel Order","","",""
"","0","[TCAT_OMS_CQSBO_0031] Validate Logic When User Able To Add Menu Biasa Special Price With Notes After Save","chromium","2026-04-21","skipped","2026-04-21","Quick Service Classic Add Order","","",""
"","23623","[TC_0206002] Validate Logic when user can use Cash as a payment method","chromium","2026-04-21","failed","2026-04-21","Payment Cash POS","","",""
"","9198","[TC_0205303] Validate Logic When User Able To Delete Menu Paket Special Price Before Save","chromium","2026-04-21","passed","2026-04-21","Quick Service Add Order","","",""
"","6651","[TC_0205783] Validate Logic when User can sort Descending Created By in Branch Event List sub-tab menu on Tools","chromium","2026-04-20","failed","2026-04-20","Tools","","",""
"","25313","[TC_0205437] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - FREE ITEM MENU CATEGORY","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive Before Discount","","",""
"","21854","[TC_0205359] Validate Logic when User can Move Item from Quick Service to Dine-In empty table with a Menu selected","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","0","[TC_0205186] Validate Logic when User can Cancel Menu the Parent (Main) Split Bill","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Cancel Menu","","",""
"","6803","[TC_0206060] Validate Logic When User Able To Payment With Non Sales Payment Using Promotion","chromium","2026-04-21","failed","2026-04-21","Payment Other Cost ","","",""
"","6897","[TC_0206061] Validate Logic When User Able To Payment With Non Sales Payment And Cash PaymentCash First Then Non Sales","chromium","2026-04-21","failed","2026-04-21","Payment Other Cost ","","",""
"","0","[TC_0205239] Validate logic POS when user edit Sales Mode within the Order Page after order menu","chromium","2026-04-21","skipped","2026-04-21","Transaction Edit Order","","",""
"","0","[TC_0205053] Validate logic when user able to edit qty Menu Extra Special Price after Save","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","8439","[TC_0205367] Validate Logic when User cannot Move Item from Quick Service to the other empty table with different Sales Mode in different Table Section on Dine-In","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","33676","[TC_0205476] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Discount % Menu","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive After Discount","","",""
"","8088","[TC_0205291] Validate Logic When User Able To Edit Menu Paket With Notes After Save Order","chromium","2026-04-21","passed","2026-04-21","Quick Service Add Order","","",""
"","1","[TC_0205052] Validate logic when user able to edit qty Menu Extra Special Price","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","0","[TC_0205199] Validate Logic when User cannot Move Item without ordered item to the other table","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Move Item","","",""
"","0","[TC_0205183] Validate Logic when User can Move Item to the other table with the same Table Section","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Move Item","","",""
"","104548","[TC_0206032] Validate Logic when user cannot apply Complimentary while Compliment Notes is empty","chromium","2026-04-21","broken","2026-04-21","Payment Compliment POS","","",""
"","8247","[TC_0205316] Validate Logic When User Able To Edit Qty Menu Extra Special Price After Save","chromium","2026-04-21","passed","2026-04-21","Quick Service Add Order","","",""
"","17695","[TC_0205138] Validate Logic when User cannot Cancel Table before Save Order without input Cancel Notes","chromium","2026-04-21","passed","2026-04-21","Dine in Cancel Table","","",""
"","6443","[TC_0205712] Validate Logic when User can Select ESO Printer Station in Application Setting sub-tab menu on Tools","chromium","2026-04-20","passed","2026-04-20","Tools","","",""
"","0","[TC_0205211] Validate Logic when User can Link Table to other table with different Sales Mode","chromium","2026-04-21","skipped","2026-04-21","Dine in Link Table","","",""
"","21537","[TC_0205443] Validate Logic When User Apply Promotion Head - Order Pages - Type: Discount % All Category","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive After Discount","","",""
"","33351","[TC_0205478] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Discount % Menu Category Detail","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive After Discount","","",""
"","9600","[TC_0205548] Validate Logic When User Apply Promotion Head - Order Pages - Type: Discount % Menu","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive After Discount","","",""
"","6959","[TC_0205752] Validate Logic when User can Sort Ascending Start Date All Promotions list in Promotion List sub-tab menu on Tools","chromium","2026-04-20","failed","2026-04-20","Tools","","",""
"","26325","[TC_0205453] Validate Logic When User Apply Promotion Head - Order Pages - Menu Discount Rp Menu Category Detail","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive After Discount","","",""
"","0","[TC_0205261] Validate Logic when User cannot Split Bill the Child Merge Table","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Split Bill","","",""
"","204903","[TC_0205492] Validate Logic When User Apply Promotion Head - Order Pages - BUY X GET FREE Y","chromium","2026-04-21","broken","2026-04-21","Promotion Inclusive After Discount","","",""
"","0","[TCAT_OMS_CQSTM_0020] Validate logic POS when user edit Sales Mode within the Order Page after order menu when popup new menu open","chromium","2026-04-21","skipped","2026-04-21","Quick Service Classic Edit Order","","",""
"","9040","[TC_0205275] Validate Logic When User Able To Delete Menu Biasa Sebelum Save Order","chromium","2026-04-21","passed","2026-04-21","Quick Service Add Order","","",""
"","1","[TC_0205040] Validate Logic When User Able To Delete Menu Paket Special Price Before Save","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","31780","[TC_0206024]Validate Logic when user can input Compliment Percentage","chromium","2026-04-21","failed","2026-04-21","Payment Compliment POS","","",""
"","0","[TC_0205035] Validate Logic When User Able To Add Menu Biasa Special Price With Notes Before Save","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","1","[TC_0205192] Validate Logic when User can Decrease an item with ≥ 1 Qty selected in Move Item to the other table","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Move Item","","",""
"","0","[TC_0205195] Validate Logic when User cannot Move Item to the other filled table with different Sales Mode","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Move Item","","",""
"","8619","[TC_0205526] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Discount % All Category","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive Before Discount","","",""
"","1","[TC_0205172] Validate Logic when User cannot Move Table to own child linked table","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Move Table","","",""
"","4188","[TC_0205691] Validate Logic when User can Test Print KASIR only in Troubleshoot sub-tab menu on Tools","chromium","2026-04-20","passed","2026-04-20","Tools","","",""
"","0","[TC_0205244] Validate Logic when User can access Child (Splitted) Bill in Split Bill","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Split Bill","","",""
"","1","[TCAT_OMS_CQSBO_0015] Validate Logic When User Able To Edit Qty Menu Extra After Save Order > Increase Qty","chromium","2026-04-21","skipped","2026-04-21","Quick Service Classic Add Order","","",""
"","6834","[TC_0205763] Validate Logic when User can Sort Descending Status All Promotions list in Promotion List sub-tab menu on Tools","chromium","2026-04-20","failed","2026-04-20","Tools","","",""
"","0","[TC_0205049] Validate logic when user able to add Menu Open Price Special Price with notes before Save","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","9894","[TC_0205497] Validate Logic When User Apply Promotion Head - Order Pages - Type: Discount % Menu Category","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive Before Discount","","",""
"","28372","[TC_0205462] Validate Logic When User Apply Promotion Head - Payment Pages - Discount Limit % Menu Category","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive After Discount","","",""
"","32348","[TC_0205470] Validate Logic When User Apply Promotion - Apply All Qty - FREE ITEM ALL CATEGORY","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive After Discount","","",""
"","7086","[TC_0205734] Validate Logic when User can Sort Ascending Discount Today's Promotions list in Promotion List sub-tab menu on Tools","chromium","2026-04-20","failed","2026-04-20","Tools","","",""
"","19213","[TC_0205336] Validate Logic when User can Move Item to the empty order with all Menu(s) selected from Quick Service to Quick Service","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","20811","[TC_0205321] Validate Logic when User can Move Table from Quick Service to Dine-In","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Table","","",""
